ID;Sire / DateIn;Dam / DateInEst;Sex / InType;ReproStat/  DateOut;Selected /  DateOutEst;Living /  OutType;BirthLoc;BProgram;BCountry;DOB;DOBest;DOD;DODest;Necr1;Necr2;Necr3;Location;LocalID;Social;Program;Country;Name;Transponder;Tag;Tattoo;Color;LitSize;No_Litters;Lit_List;UDFs;   
MOVE: 24;19780227; ;Birth  ;19780228; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19780919; ;19840522; ;Other;;;RIO PRIM;286;;LatinAm;Brazil;;;;;;1;2;2 3;                                                                                   ;
MOVE: 25;19780919; ;Birth  ;19840522; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
26;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19781012; ;19781027; ;Other;;;RIO PRIM;210;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 26;19781012; ;Birth  ;19781027; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
27;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19781012; ;19781028; ;Other;;;RIO PRIM;211;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 27;19781012; ;Birth  ;19781028; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19790203; ;19790702; ;Other;;;RIO PRIM;227;;LatinAm;Brazil;;;;;;1;0;;                                                                                      ;
MOVE: 28;19790203; ;Birth  ;19790702; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
29;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19791012; ;19791012; ;Stillbirth;;;RIO PRIM;253;;LatinAm;Brazil;;;;;;2;0;;                                                                                ;
MOVE: 29;19791012; ;Birth  ;19791012; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
30;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19791012; ;19791012; ;Stillbirth;;;RIO PRIM;254;;LatinAm;Brazil;;;;;;2;0;;                                                                                ;
MOVE: 30;19791012; ;Birth  ;19791012; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
31;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19800915; ;19850124; ;Other;;;RIO PRIM;303;;LatinAm;Brazil;;;;;;2;2;2 3;                                                                                   ;
MOVE: 31;19800915; ;Birth  ;19850124; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
32;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19800915; ;19970502; ;Other;;;RIO PRIM;304;;LatinAm;Brazil;;;;25;;2;7;3 2 2 2 1 2 1;                                                                       ;
MOVE: 32;19800915; ;Birth  ;19970502; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
33;12;14;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19801102; ;19941007; ;Other;;;RIO PRIM;318;;LatinAm;Brazil;;;;26;;1;0;;                                                                                    ;
MOVE: 33;19801102; ;Birth  ;19941007; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
34;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19810106; ;19821105; ;Other;;;RIO PRIM;330;;LatinAm;Brazil;;;;;;2;0;;                                                                                       ;
MOVE: 34;19810106; ;Birth  ;19821105; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;20;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19810106; ;19831122; ;Other;;;RIO PRIM;331;;LatinAm;Brazil;;;;;;2;1;3;                                                                                    ;
MOVE: 35;19810106; ;Birth  ;19831122; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
36;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19810927; ;19811206; ;Other;;;RIO PRIM;354;;LatinAm;Brazil;;;;;;1;0;;                                                                                      ;
MOVE: 36;19810927; ;Birth  ;19811206; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811029; ;19890722; ;Other;;;RIO PRIM;361;;LatinAm;Brazil;;;;27;;3;0;;                                                                                     ;
MOVE: 37;19811029; ;Birth  ;19890722; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
38;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811029; ;19900807; ;Other;;;RIO PRIM;362;;LatinAm;Brazil;;;;28;;3;3;2 1 2;                                                                                ;
MOVE: 38;19811029; ;Birth  ;19900807; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
39;3;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811031; ;19820120; ;Other;;;RIO PRIM;363;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 39;19811031; ;Birth  ;19820120; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
40;3;6;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811031; ;19820120; ;Other;;;RIO PRIM;364;;LatinAm;Brazil;;;;;;2;0;;                                                                                        ;
MOVE: 40;19811031; ;Birth  ;19820120; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
